	x1	x2	x1x2	x1sq	x2sq	temp	protein	y_RBC	y_WBC	y_Hb	y_Mortality	sd_RBC	sd_WBC	sd_Hb	sd_Mortality
1	0	0	0	0	0	27	37.5	2.413	257.943	89.667	16.667	0.217	10.347	7.413	2.887
2	-1	-1	1	1	1	22.1	28.7	2.317	213.617	84.333	81.667	0.189	15.472	6.341	5.774
3	0	-1.4142	0	0	2	27	25	2.415	234.545	85.5	53.333	0.226	15.682	6.352	10.408
4	0	0	0	0	0	27	37.5	2.532	274.616	89.5	16.667	0.203	20.331	8.023	2.887
5	-1	1	-1	1	1	22.1	46.3	2.027	234.917	80.667	68.333	0.172	16.743	5.301	7.638
6	0	0	0	0	0	27	37.5	2.629	251.922	90.333	16.667	0.196	21.39	6.716	5.774
7	0	1.4142	0	0	2	27	50	2.205	245.723	87.667	40	0.188	16.293	7.519	8.66
8	0	0	0	0	0	27	37.5	2.561	253.673	94	8.333	0.237	19.532	6.903	2.887
9	1.4142	0	0	2	0	34	37.5	2.143	248.07	83.667	56.667	0.169	22.479	7.218	7.638
10	-1.4142	0	0	2	0	20	37.5	1.79	186.803	74	81.667	0.132	15.201	6.83	2.887
11	1	1	1	1	1	31.9	46.3	2.6	276.707	95.5	66.667	0.241	21.337	9.551	8.66
12	0	0	0	0	0	27	37.5	2.651	278.024	92.667	15	0.205	26.179	6.316	5.774
13	1	-1	-1	1	1	31.9	28.7	2.28	264.453	86	38.333	0.183	22.403	4.649	5.774
